text	Museo	Estrellas	Fecha de la visita	Fecha de la opinión	Enlace
Recomendable. Perfecta recuperación de la antigua tabacalera para ofrecernos exposiciones sobre arte ruso temporales y anuales.	Museo Ruso	4	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r741493740-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Mujer en la pintura rusa. Excelente colección del museo ruso de San Petersburgo. Varía periódicamentete. Muy recomendable. Buenas instalaciones…	Museo Ruso	5	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r736764286-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Mejorable. Tenía muchas ganas de visitarlo desde que lo abrieron y me ha decepcionado. No tiene una colección permanente con lo que es una suerte que en el momento que vayas la exposición sea buena o no. A nosotros nos tocó una colección pasable, mujeres, reinas y obreras. Las demás no nos gustaron demasiado. De todas formas, desde mi punto de vista, los 8 euros de la entrada no los vale.	Museo Ruso	3	Dec-19	Dec-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r735530099-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Una agradable visita. Hay dos tipos de exposiciones itinerantes, dos semestrales y una anual. No hay fondos fijos. Por eso, cada vez que vayas, puede que te encuentres con sorprendentes obras nuevas. La pintura y escultura rusas son mucho más ricas de lo que la mayoría imagina. Si te gusta el arte es un buen lugar para pasar una buena mañana o tarde.	Museo Ruso	5	Dec-19	Dec-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r733231844-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Es muy vistoso, pero... El Centre Pompidou Málaga es una sede del Centro Nacional de Arte y Cultura Georges Pompidou de Francia ubicada en el espacio denominado El Cubo en la ciudad española de Málaga. Se trata de la primera sede internacional del Centre Pompidou París. Es una estructura llamativa por su colorido, pero termina siendo una caja coloreada que le da una categoría a la zona.	Centre Pompidou	4	Feb-20	Apr-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r753014424-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Para no volver. El gran museo de las mamarrachadas. Si os gusta el hamparte, este es su templo. Se salvan cuatro obras.	Centre Pompidou	2	Dec-19	Mar-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r750236827-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Soso. Ubicado en el puerto marítimo. Tiene parking. Las obras son interesantes. Pero aparte de eso, nada. El edificio en sí es horroroso. Parece algo más de un polígono industrial que no representa en nada lo que debería ser. Entrada cara.	Centre Pompidou	3	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r747297570-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Un museo que te atiende según tus recursos. Ante todo, la imagen arquitectónica es banal y superflua, una "caja pintada" sin ningún atrevimiento de diseño que enaltezca la marca. El trato era de: si entras me da igual, total aquí viene mucho público cautivo turístico. La información sobre las muestras escasa como para saber si pagar una entrada bastante costosa. Lo más asombroso: había que pagar la entrada para poder acceder a... ¡¡¡la TIENDA!!! O sea, te cobran por llevar merchandising de promoción para ellos mismos. Una idea abstrusa por donde la veas. Ni me molesté en entrar.	Centre Pompidou	2	Oct-19	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r745198335-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Visita imprescindible en Málaga. Fuimos un domingo aprovechando la entrada gratuita y nos ha maravillado, tanto su desenfadado cubo exterior como las obras en el interior. Es un lugar diferente donde se puede apreciar arte con mayúsculas.	Centre Pompidou	5	Dec-19	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r742895662-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Un lujo... para nosotros poder visitar este centro tal y como, hace unos años, visitamos el de París. La UTOPÍA casi la entiendo después de esta visita. También destaco la ubicación de este centro allí al principio del muelle.	Centre Pompidou	5	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r741568197-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
¡¡¡Fabuloso!!! Fabuloso. Hemos ido en familia con dos niños un domingo por la mañana. Nos ha dirigido la visita Ana, que es un encanto, muy buenas explicaciones en la visita con niños. ¡¡¡Repetiremos pronto!!!	Centre Pompidou	5	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r738752338-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Imprescindible. Museo pequeño y muy agradable para visitar en una hora más o menos. Muy buena selección de obras. Tambien hay siempre una exposición temporal.	Centre Pompidou	5	Dec-19	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r737514491-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Excursion con alumnos entretenida. El centro en sí está muy bien organizado. Llevé a mis alumnos de español y disfrutaron mucho. Pero, en mi opinión, si no entiendes de arte es difícil de entender algunas obras.	Centre Pompidou	4	Jul-19	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r736770198-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Musée Pompidou. Me gustó mucho la visita al museo. Me gusta mucho el arte moderno. De precio no está mal, no es caro.	Centre Pompidou	5	Nov-19	Nov-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d7896329-r728849399-Centre_Pompidou_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
